'id';'code';'name';'parent_id/id'
'material.product_category_material_2_1_3_000';'000';'图形辅助类';'material.product_category_material_2_1_3'
'material.product_category_material_2_1_4';'04';'图形拉网';'material.product_category_material_2_1'
'material.product_category_material_2_1_4_000';'000';'图形拉网';'material.product_category_material_2_1_4'
'material.product_category_material_2_2';'02';'光绘物料';'material.product_category_material_2'
'material.product_category_material_2_2_1';'01';'光绘物料';'material.product_category_material_2_2'
'material.product_category_material_2_2_1_000';'000';'光绘物料';'material.product_category_material_2_2_1'
'material.product_category_material_2_3';'03';'机加物料';'material.product_category_material_2'
'material.product_category_material_2_3_1';'01';'UC钻头';'material.product_category_material_2_3'
'material.product_category_material_2_3_10';'10';'沉孔刀';'material.product_category_material_2_3'
'material.product_category_material_2_3_10_000';'000';'沉孔刀';'material.product_category_material_2_3_10'
'material.product_category_material_2_3_11';'11';'倒角刀类';'material.product_category_material_2_3'
'material.product_category_material_2_3_11_000';'000';'倒角刀类';'material.product_category_material_2_3_11'
'material.product_category_material_2_3_12';'12';'铣靶刀类';'material.product_category_material_2_3'
'material.product_category_material_2_3_12_000';'000';'铣靶刀类';'material.product_category_material_2_3_12'
'material.product_category_material_2_3_13';'13';'斜边刀类';'material.product_category_material_2_3'
'material.product_category_material_2_3_13_000';'000';'斜边刀类';'material.product_category_material_2_3_13'
'material.product_category_material_2_3_14';'14';'丝印定位片';'material.product_category_material_2_3'
'material.product_category_material_2_3_14_000';'000';'丝印定位片';'material.product_category_material_2_3_14'
'material.product_category_material_2_3_14_001';'001';'刺穿钉';'material.product_category_material_2_3_14'
'material.product_category_material_2_3_15';'15';'特殊板';'material.product_category_material_2_3'
'material.product_category_material_2_3_15_000';'000';'特殊板';'material.product_category_material_2_3_15'
'material.product_category_material_2_3_16';'16';'铆钉';'material.product_category_material_2_3'
'material.product_category_material_2_3_16_000';'000';'铆钉';'material.product_category_material_2_3_16'
'material.product_category_material_2_3_17';'17';'离型膜';'material.product_category_material_2_3'
'material.product_category_material_2_3_17_000';'000';'离型膜';'material.product_category_material_2_3_17'
'material.product_category_material_2_3_18';'18';'清洁布';'material.product_category_material_2_3'
'material.product_category_material_2_3_18_000';'000';'清洁布';'material.product_category_material_2_3_18'
'material.product_category_material_2_3_2';'02';'涂层钻头';'material.product_category_material_2_3'
'material.product_category_material_2_3_2_1';'001';'金刚石涂层';'material.product_category_material_2_3_1'
'material.product_category_material_2_3_3';'03';'钻头';'material.product_category_material_2_3'
'material.product_category_material_2_3_3_0';'000';'金洲钻头';'material.product_category_material_2_3_3'
'material.product_category_material_2_3_3_1';'001';'双刃钻头';'material.product_category_material_2_3_3'
'material.product_category_material_2_3_3_2';'002';'新野钻头';'material.product_category_material_2_3_3'
'material.product_category_material_2_3_4';'04';'普通铣刀';'material.product_category_material_2_3'
'material.product_category_material_2_3_4_0';'000';'金洲铣刀';'material.product_category_material_2_3_4'
'material.product_category_material_2_3_4_1';'001';'新野铣刀';'material.product_category_material_2_3_4'
'material.product_category_material_2_3_5';'05';'特殊铣刀';'material.product_category_material_2_3'
'material.product_category_material_2_3_5_000';'000';'特殊铣刀';'material.product_category_material_2_3_5'
'material.product_category_material_2_3_6';'06';'槽刀';'material.product_category_material_2_3'
'material.product_category_material_2_3_6_000';'000';'槽刀';'material.product_category_material_2_3_6'
'material.product_category_material_2_3_7';'07';'销钉';'material.product_category_material_2_3'
'material.product_category_material_2_3_7_000';'000';'销钉';'material.product_category_material_2_3_7'
'material.product_category_material_2_3_8';'08';'套环';'material.product_category_material_2_3'
'material.product_category_material_2_3_8_000';'000';'套环';'material.product_category_material_2_3_8'
'material.product_category_material_2_3_9';'09';'V割刀';'material.product_category_material_2_3'
'material.product_category_material_2_3_9_000';'000';'V割刀';'material.product_category_material_2_3_9'
'material.product_category_material_2_4';'04';'生产化学药品';'material.product_category_material_2'
'material.product_category_material_2_4_1';'01';'化学药品';'material.product_category_material_2_4'
'material.product_category_material_2_4_1_0';'000';'化学药品';'material.product_category_material_2_4_1'
'material.product_category_material_2_4_1_1';'001';'OSP药水';'material.product_category_material_2_4_1'
'material.product_category_material_2_4_2';'02';'化学试剂仪器';'material.product_category_material_2_4'
'material.product_category_material_3';'03';'耗材';'material.product_category_material'
'material.product_category_material_3_1';'01';'生产用耗材';'material.product_category_material_3'
'material.product_category_material_3_1_1';'01';'胶带类';'material.product_category_material_3_1'
